slug,all_text,rating,roaster,name,location,origin,roast,est_price,review_date,agtron,aroma,acid,body,flavor,aftertaste,with_milk,desc_1,desc_2,desc_3
https://www.coffeereview.com/review/kenya-nyeri-gichathaini-aa-top/," 


93


Lu's Coffee
Kenya Nyeri Gichathaini AA Top








Roaster Location:
New Taipei City, Taiwan


Coffee Origin:
Nyeri growing region, south-central Kenya


Roast Level:
Medium-Light


Agtron:
58/78


Est. Price:
NT $320/200 grams






Review Date:
October 2023


Aroma:
9


Acidity/Structure: 9


Body:
8						

Flavor:
9


Aftertaste:
8




Blind Assessment
Richly sweet-savory. Red currant, narcissus, tamarind, cedar, brown sugar in aroma and cup. Bittersweet structure with bright acidity; crisp, velvety mouthfeel. Sweetly tart finish leads with tamarind notes, supported by narcissus and cedar. 
Notes
Produced by smallholding members of the Gikanda Cooperative, from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Lu’s Coffee is a specialty coffee roaster based in New Taipei City, Taiwan. Visit https://shopee.tw/death963 for more information.

 
Bottom Line A deep-toned, sweetly savory Kenya cup with inviting floral notes and a complex bittersweet structure.
Explore Similar CoffeesClick here for more reviews from Lu's CoffeeClick here for more information about coffees from Kenya 
",93,Lu's Coffee,Kenya Nyeri Gichathaini AA Top,"New Taipei City, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,NT $320/200 grams,October 2023,58/78,9,9,8,9,8,,"Richly sweet-savory. Red currant, narcissus, tamarind, cedar, brown sugar in aroma and cup. Bittersweet structure with bright acidity; crisp, velvety mouthfeel. Sweetly tart finish leads with tamarind notes, supported by narcissus and cedar. ","Produced by smallholding members of the Gikanda Cooperative, from trees of the SL28 and SL34 varieties of Arabica, and processed by the traditional washed method (fruit skin and pulp removed before drying). Lu’s Coffee is a specialty coffee roaster based in New Taipei City, Taiwan. Visit https://shopee.tw/death963 for more information.","A deep-toned, sweetly savory Kenya cup with inviting floral notes and a complex bittersweet structure."
https://www.coffeereview.com/review/wilton-benitez-java/," 


96


JBC Coffee Roasters
Wilton Benitez Java


 





Roaster Location:
Madison, Wisconsin


Coffee Origin:
Piendamó, Cauca, Colombia


Roast Level:
Medium-Light


Agtron:
60/74


Est. Price:
$25.00/8 ounces






Review Date:
October 2023


Aroma:
9


Acidity/Structure: 9


Body:
9						

Flavor:
10


Aftertaste:
9




Blind Assessment
Multi-layered, enigmatic. Tart citrus, myrrh, fresh-cut sugar cane, alyssum, pistachio in aroma and cup. Lively, very juicy acidity; vibrant, silky-smooth mouthfeel. Floral-toned, harmonious and coherent finish.

Notes
Produced by Wilton Benitez entirely of the Ethiopia-derived Java variety of Arabica, and processed by a version of the carbonic maceration method involving two fermentation phases in closed tanks injected with CO2, with the fermentation of the whole fruit preceded by sterilization with ozone gas and ultraviolet light and with yeasts added to the fermentation. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.

 
Bottom Line An impossibly complex, delightfully floral carbonic-macerated Java with more aroma and flavor descriptors than we can begin to count on both hands.
Explore Similar CoffeesClick here for more reviews from JBC Coffee RoastersClick here for more information about coffees from ColombiaVisit JBC Coffee Roasters 
",96,JBC Coffee Roasters,Wilton Benitez Java,"Madison, Wisconsin","Piendamó, Cauca, Colombia",Medium-Light,$25.00/8 ounces,October 2023,60/74,9,9,9,10,9,,"Multi-layered, enigmatic. Tart citrus, myrrh, fresh-cut sugar cane, alyssum, pistachio in aroma and cup. Lively, very juicy acidity; vibrant, silky-smooth mouthfeel. Floral-toned, harmonious and coherent finish.","Produced by Wilton Benitez entirely of the Ethiopia-derived Java variety of Arabica, and processed by a version of the carbonic maceration method involving two fermentation phases in closed tanks injected with CO2, with the fermentation of the whole fruit preceded by sterilization with ozone gas and ultraviolet light and with yeasts added to the fermentation. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.","An impossibly complex, delightfully floral carbonic-macerated Java with more aroma and flavor descriptors than we can begin to count on both hands."
https://www.coffeereview.com/review/holy-melody-espresso-blend/," 


94


HWC Coffee Roasters
HWC Holy Melody Espresso Blend


 





Roaster Location:
Taichung, Taiwan


Coffee Origin:
Kenya; Ethiopia


Roast Level:
Medium-Light


Agtron:
57/77


Est. Price:
$40.00/8 ounces






Review Date:
September 2023


Aroma:
9


Body:
9						

Flavor:
9


Aftertaste:
8


With Milk:
9




Blind Assessment
Evaluated as espresso. Deeply sweet-savory, fruit-toned. Toffee, raspberry, maple syrup, jasmine, fresh-cut oak in aroma and cup. Full, syrupy-smooth mouthfeel; crisply sweet finish. In three parts milk, toffee and raspberry notes are supported by jasmine.


Notes
A blend of coffees from Kenya and Ethiopia, roasted for espresso applications. HWC Roasters is a specialty coffee roaster based in Taichung, Taiwan. For more information, visit www.hwcroasters.com.

 
Bottom Line A complex, multi-layered espresso blend with notes of red berries, spicy florals, and rich toffee; elegant in the milk shot.
Explore Similar CoffeesClick here for more reviews from HWC Coffee RoastersVisit HWC Coffee Roasters 
",94,HWC Coffee Roasters,HWC Holy Melody Espresso Blend,"Taichung, Taiwan",Kenya; Ethiopia,Medium-Light,$40.00/8 ounces,September 2023,57/77,9,,9,9,8,9,"Evaluated as espresso. Deeply sweet-savory, fruit-toned. Toffee, raspberry, maple syrup, jasmine, fresh-cut oak in aroma and cup. Full, syrupy-smooth mouthfeel; crisply sweet finish. In three parts milk, toffee and raspberry notes are supported by jasmine.","A blend of coffees from Kenya and Ethiopia, roasted for espresso applications. HWC Roasters is a specialty coffee roaster based in Taichung, Taiwan. For more information, visit www.hwcroasters.com.","A complex, multi-layered espresso blend with notes of red berries, spicy florals, and rich toffee; elegant in the milk shot."
https://www.coffeereview.com/review/power-drum-espresso-blend/," 


93


HWC Coffee Roasters
HWC Power Drum Espresso Blend


 





Roaster Location:
Taichung, Taiwan


Coffee Origin:
Peru, Guatemala


Roast Level:
Medium-Light


Agtron:
58/73


Est. Price:
$40.00/8 ounces






Review Date:
September 2023


Aroma:
8


Body:
9						

Flavor:
9


Aftertaste:
8


With Milk:
9




Blind Assessment
Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, almond, date, molasses, cedar in aroma and small cup. Plush, viscous mouthfeel; crisp, resonantly chocolaty finish. In three parts milk, dark chocolate and creamy almond notes take center stage. 

Notes
A blend of coffees from Peru and Guatemala, roasted for espresso applications. HWC Roasters is a specialty coffee roaster based in Taichung, Taiwan. For more information, visit www.hwcroasters.com.

 
Bottom Line A bold, chocolaty espresso blend supported by rich nut and aromatic wood notes; especially satisfying in cappuccino format.

Explore Similar CoffeesClick here for more reviews from HWC Coffee RoastersVisit HWC Coffee Roasters 
",93,HWC Coffee Roasters,HWC Power Drum Espresso Blend,"Taichung, Taiwan","Peru, Guatemala",Medium-Light,$40.00/8 ounces,September 2023,58/73,8,,9,9,8,9,"Evaluated as espresso. Richly chocolaty, sweetly nut-toned. Dark chocolate, almond, date, molasses, cedar in aroma and small cup. Plush, viscous mouthfeel; crisp, resonantly chocolaty finish. In three parts milk, dark chocolate and creamy almond notes take center stage. ","A blend of coffees from Peru and Guatemala, roasted for espresso applications. HWC Roasters is a specialty coffee roaster based in Taichung, Taiwan. For more information, visit www.hwcroasters.com.","A bold, chocolaty espresso blend supported by rich nut and aromatic wood notes; especially satisfying in cappuccino format."
https://www.coffeereview.com/review/el-salvador-monte-verde/," 


92


Speedwell Coffee
El Salvador Monte Verde


 





Roaster Location:
Plymouth, Massachusetts


Coffee Origin:
Monte Verde, Santa Ana Department, central El Salvador


Roast Level:
Medium-Light


Agtron:
60/76


Est. Price:
$16.00/12 ounces






Review Date:
September 2023


Aroma:
8


Acidity/Structure: 9


Body:
8						

Flavor:
9


Aftertaste:
8




Blind Assessment
Sweetly bright, rich-toned. Baking chocolate, agave syrup, violet, hazelnut, tangerine in aroma and cup. Balanced, bright acidity; crisp, satiny mouthfeel. The pleasing finish centers around notes of baking chocolate and hazelnut. 

Notes
Produced by Rene Contreras on the family farm in Monte Verde and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Speedwell Coffee, based in Plymouth, Massachusetts, is a wholesale and retail specialty roaster particularly dedicated to offering attractive coffee subscription plans. For more information, visit www.speedwellcoffee.com.

 
Bottom Line A solid El Salvador cup with a crisp chocolate throughline and especially vibrant acidity.
Explore Similar CoffeesClick here for more reviews from Speedwell CoffeeClick here for more information about coffees from El SalvadorVisit Speedwell Coffee 
",92,Speedwell Coffee,El Salvador Monte Verde,"Plymouth, Massachusetts","Monte Verde, Santa Ana Department, central El Salvador",Medium-Light,$16.00/12 ounces,September 2023,60/76,8,9,8,9,8,,"Sweetly bright, rich-toned. Baking chocolate, agave syrup, violet, hazelnut, tangerine in aroma and cup. Balanced, bright acidity; crisp, satiny mouthfeel. The pleasing finish centers around notes of baking chocolate and hazelnut. ","Produced by Rene Contreras on the family farm in Monte Verde and processed by the traditional washed method (fruit skin and flesh are removed from the beans before they are dried). Speedwell Coffee, based in Plymouth, Massachusetts, is a wholesale and retail specialty roaster particularly dedicated to offering attractive coffee subscription plans. For more information, visit www.speedwellcoffee.com.",A solid El Salvador cup with a crisp chocolate throughline and especially vibrant acidity.
https://www.coffeereview.com/review/uganda-sipi-falls-station-anaerobic-natural/," 


93


GK Coffee
Uganda Sipi Falls Station Anaerobic Natural


 





Roaster Location:
Yilan, Taiwan


Coffee Origin:
Sipi Falls, Bugisu Region, Uganda


Roast Level:
Light


Agtron:
65/81


Est. Price:
NT $800/200 grams






Review Date:
September 2023


Aroma:
9


Acidity/Structure: 9


Body:
8						

Flavor:
9


Aftertaste:
8




Blind Assessment
Richly bittersweet, deep-toned. Tangerine zest, cocoa nib, pineapple kefir, brown sugar, cedar in aroma and cup. Brightly sweet-tart structure with vibrant acidity; crisp, lightly satiny mouthfeel. Cocoa-toned finish with notes of tangerine and brown sugar.

Notes
Produced in the Bugisu Region of Uganda near Mt. Elgon, from trees of the SL14 and SL28 varieties of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying. GK Coffee is a nano-roastery in Yilan, Taiwan, that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].

 
Bottom Line An inviting anaerobic natural Uganda with throughlines of citrus zest and cocoa, complicated by a lactic tang.
Explore Similar CoffeesClick here for more reviews from GK CoffeeClick here for more information about coffees from UgandaVisit GK Coffee 
",93,GK Coffee,Uganda Sipi Falls Station Anaerobic Natural,"Yilan, Taiwan","Sipi Falls, Bugisu Region, Uganda",Light,NT $800/200 grams,September 2023,65/81,9,9,8,9,8,,"Richly bittersweet, deep-toned. Tangerine zest, cocoa nib, pineapple kefir, brown sugar, cedar in aroma and cup. Brightly sweet-tart structure with vibrant acidity; crisp, lightly satiny mouthfeel. Cocoa-toned finish with notes of tangerine and brown sugar.","Produced in the Bugisu Region of Uganda near Mt. Elgon, from trees of the SL14 and SL28 varieties of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in an oxygen-free environment before drying. GK Coffee is a nano-roastery in Yilan, Taiwan, that offers both retail and wholesale coffee. For more information, visit www.gkcoffee.com.tw or email [email protected].","An inviting anaerobic natural Uganda with throughlines of citrus zest and cocoa, complicated by a lactic tang."
https://www.coffeereview.com/review/robusta-rosso/," 


93


Paradise Roasters
Robusta Rosso


 





Roaster Location:
Hilo, Hawai'i


Coffee Origin:
Phu Khaa, Nan Province, Thailand


Roast Level:
Light


Agtron:
64/88


Est. Price:
$30.00/12 ounces






Review Date:
September 2023


Aroma:
9


Acidity/Structure: 8


Body:
9						

Flavor:
9


Aftertaste:
8




Blind Assessment
Complex, richly bittersweet. Pomegranate, hop flowers, honey, magnolia, baking chocolate in aroma and cup. Gently brisk acidity; plush, creamy mouthfeel. Pomegranate and hop flowers lead in the crisp, long finish.

Notes
Produced at Gem Forest Farm, entirely from trees of the Robusta species, and processed by the traditional washed method (fruit skin and pulp removed before drying), then the green coffee was fermented with wine yeasts. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.

 
Bottom Line A lovely Thailand Robusta, processed experimentally with the addition of wine yeasts in the fermentation, to tart-fruity effect.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ThailandVisit Paradise Roasters 
",93,Paradise Roasters,Robusta Rosso,"Hilo, Hawai'i","Phu Khaa, Nan Province, Thailand",Light,$30.00/12 ounces,September 2023,64/88,9,8,9,9,8,,"Complex, richly bittersweet. Pomegranate, hop flowers, honey, magnolia, baking chocolate in aroma and cup. Gently brisk acidity; plush, creamy mouthfeel. Pomegranate and hop flowers lead in the crisp, long finish.","Produced at Gem Forest Farm, entirely from trees of the Robusta species, and processed by the traditional washed method (fruit skin and pulp removed before drying), then the green coffee was fermented with wine yeasts. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit paradiseroasters.com or call 763-433-0626 for more information.","A lovely Thailand Robusta, processed experimentally with the addition of wine yeasts in the fermentation, to tart-fruity effect.Explore Similar CoffeesClick here for more reviews from Paradise RoastersClick here for more information about coffees from ThailandVisit Paradise Roasters "
https://www.coffeereview.com/review/yirgacheffe-chelbesa-danche/," 


93


Jaunt Coffee Roasters
Yirgacheffe Chelbesa Danche


 





Roaster Location:
San Diego, California


Coffee Origin:
Chelchele, Gedeb District, Gedeo Zone, Ethiopia


Roast Level:
Light


Agtron:
65/81


Est. Price:
$24.00/12 ounces






Review Date:
September 2023


Aroma:
9


Acidity/Structure: 9


Body:
8						

Flavor:
9


Aftertaste:
8




Blind Assessment
Sweetly citrusy, cocoa-toned. Lime zest, cocoa nib, lemon verbena, freesia, cedar in aroma and cup. Bright, juicy acidity; crisp, satiny mouthfeel. Citrus-driven finish with undertones of cocoa nib.

Notes
Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from selections of traditional landrace varieties of Arabica long grown in the region. Processed by the traditional washed method (fruit skin and pulp removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.

 
Bottom Line A balanced, nuanced washed Ethiopia cup with pretty citrus and sweet herb notes throughout, supported by cocoa tones.

Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from EthiopiaVisit Jaunt Coffee Roasters 
",93,Jaunt Coffee Roasters,Yirgacheffe Chelbesa Danche,"San Diego, California","Chelchele, Gedeb District, Gedeo Zone, Ethiopia",Light,$24.00/12 ounces,September 2023,65/81,9,9,8,9,8,,"Sweetly citrusy, cocoa-toned. Lime zest, cocoa nib, lemon verbena, freesia, cedar in aroma and cup. Bright, juicy acidity; crisp, satiny mouthfeel. Citrus-driven finish with undertones of cocoa nib.",Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from selections of traditional landrace varieties of Arabica long grown in the region. Processed by the traditional washed method (fruit skin and pulp removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.,"A balanced, nuanced washed Ethiopia cup with pretty citrus and sweet herb notes throughout, supported by cocoa tones."
https://www.coffeereview.com/review/ethiopia-guji-buku-2/," 


92


Jaunt Coffee Roasters
Ethiopia Guji Buku


 





Roaster Location:
San Diego, California


Coffee Origin:
Kebele, Buku Sayisa, Guji Zone, Oromia Region, southern Ethiopia


Roast Level:
Light


Agtron:
64/78


Est. Price:
$24.00/12 ounces






Review Date:
September 2023


Aroma:
8


Acidity/Structure: 8


Body:
9						

Flavor:
9


Aftertaste:
8




Blind Assessment
Berry-toned, chocolaty. Berry melange, baking chocolate, caramel, gardenia, oak in aroma and cup. Brisk acidity; very full, viscous mouthfeel. Baking chocolate and gardenia lead in the crisp finish.

Notes
Produced by smallholding farmers, from heirloom varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.

 
Bottom Line A berry-driven natural-processed Ethiopia — think blueberry, boysenberry, blackberry, raspberry all in one — supported by crisp chocolate and spicy florals.

Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from EthiopiaVisit Jaunt Coffee Roasters 
",92,Jaunt Coffee Roasters,Ethiopia Guji Buku,"San Diego, California","Kebele, Buku Sayisa, Guji Zone, Oromia Region, southern Ethiopia",Light,$24.00/12 ounces,September 2023,64/78,8,8,9,9,8,,"Berry-toned, chocolaty. Berry melange, baking chocolate, caramel, gardenia, oak in aroma and cup. Brisk acidity; very full, viscous mouthfeel. Baking chocolate and gardenia lead in the crisp finish.","Produced by smallholding farmers, from heirloom varieties of Arabica long grown in the region, and processed by the natural method (dried in the whole fruit). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","A berry-driven natural-processed Ethiopia — think blueberry, boysenberry, blackberry, raspberry all in one — supported by crisp chocolate and spicy florals."
https://www.coffeereview.com/review/kenya-nyeri-chinga/," 


93


Jaunt Coffee Roasters
Kenya Nyeri Chinga


 





Roaster Location:
San Diego, California


Coffee Origin:
Nyeri growing region, south-central Kenya


Roast Level:
Medium-Light


Agtron:
60/77


Est. Price:
$23.00/12 ounces






Review Date:
September 2023


Aroma:
9


Acidity/Structure: 9


Body:
8						

Flavor:
9


Aftertaste:
8




Blind Assessment
Brightly sweet, spice-toned. Red currant, nutmeg, brown sugar, orange zest, oak in aroma and cup. Juicy acidity; crisp, satiny mouthfeel. Brown sugar and orange zest lead in the quiet finish.
Notes
Produced by smallholding members of the Othaya Cooperative, from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional Kenyan washed method (fruit skin and pulp removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.

 
Bottom Line The bottom line: A balanced, juicy, spice-toned Kenya with classic lead notes of currant and bittersweet citrus undertones.
Explore Similar CoffeesClick here for more reviews from Jaunt Coffee RoastersClick here for more information about coffees from KenyaVisit Jaunt Coffee Roasters 
",93,Jaunt Coffee Roasters,Kenya Nyeri Chinga,"San Diego, California","Nyeri growing region, south-central Kenya",Medium-Light,$23.00/12 ounces,September 2023,60/77,9,9,8,9,8,,"Brightly sweet, spice-toned. Red currant, nutmeg, brown sugar, orange zest, oak in aroma and cup. Juicy acidity; crisp, satiny mouthfeel. Brown sugar and orange zest lead in the quiet finish.","Produced by smallholding members of the Othaya Cooperative, from trees of the SL28, SL34 and Ruiru 11 varieties of Arabica, and processed by the traditional Kenyan washed method (fruit skin and pulp removed before drying). Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.","The bottom line: A balanced, juicy, spice-toned Kenya with classic lead notes of currant and bittersweet citrus undertones."
